time,resonance
7.84,103.950104
7.52,103.842155
7.04,103.950104
7.28,104.166672
6.88,103.950104
5.76,104.220947
5.92,104.112442
6.4,103.734444
6.32,104.166672
6.24,103.734444
7.44,103.950104
7.52,104.166672
7.12,103.842155
7.28,104.058273
7.36,104.058273
7.92,103.842155
7.52,104.058273
7.52,103.950104
7.599999,103.950104
7.04,104.8218
6.72,104.058273
8.559999,103.842155
8.639999,103.950104
8.559999,103.896103
8.639999,104.166672
8.639999,104.275291
8.639999,103.734444
8.559999,103.950104
8.719999,104.166672
8.48,103.842155
8.639999,104.058273
8.48,103.950104
8.48,104.275291
8.559999,104.058273
8.24,104.275291
8.639999,104.166672
8.559999,103.842155
8.559999,103.734444
8.639999,103.950104
8.48,103.626945
7.599999,104.49321
7.76,105.485237
8.559999,104.166672
8.559999,104.275291
8.48,103.519669
8.48,103.950104
8.559999,103.950104
8.559999,103.950104
8.4,104.712044
8.4,103.950104
8.4,103.519669
8.24,103.842155
8.32,103.950104
8.16,104.058273
8.32,103.519669
7.92,104.058273
8.24,103.950104
7.92,104.275291
7.92,104.058273
0,104
8.32,103.950104
8.4,103.519669
7.76,103.950104
7.92,103.950104
7.76,104.004166
7.28,104.38414
7.84,104.058273
7.84,103.626945
7.6,104.166672
7.68,104.058273
7.52,103.842155
7.36,104.058273
7.84,103.950104
7.2,104.275291
7.2,104.112442
7.84,104.058273
6.64,104.058273
7.2,104.166672
7.6,103.842155
7.84,104.166672
7.36,103.950104
7.6,103.950104
7.28,104.275291
7.36,103.950104
7.04,104.058273
7.2,103.950104
7.04,104.275291
8,104.058273
8.08,104.004166
8,104.058273
7.92,104.058273
8.559999,103.842155
8.24,104.058273
8,103.950104
7.92,103.950104
8,103.842155
7.84,103.842155
8,103.950104
7.76,103.734444
7.76,104.058273
7.6,104.058273
7.68,103.734444
7.76,104.166672
8,103.950104
7.76,104.166672
7.68,103.950104
8.32,103.842155
8.24,104.058273
7.6,103.950104
7.44,104.166672
8.16,103.950104
8.16,103.950104
8.559999,104.058273
7.84,104.166672
8.32,103.842155
8.16,104.058273
8.24,103.950104
8.16,103.788277
8.08,104.166672
8.08,104.275291
8.24,103.842155
8.08,103.950104
6.96,104.166672
8.639999,103.950104
8.559999,103.626945
8.16,103.734444
8.16,104.058273
8.559999,104.166672
8.48,104.166672
8.32,103.950104
8.16,104.275291
7.68,103.950104
8.639999,104.38414
8.16,103.950104
7.28,104.058273
7.92,104.058273
7.68,104.166672
7.6,104.058273
7.6,104.166672
7.44,104.058273
7.599999,103.950104
7.28,103.734444
7.44,103.734444
8.24,103.842155
7.84,104.166672
7.76,103.788277
7.76,104.166672
7.52,104.166672
7.68,104.275291
7.44,104.166672
7.92,103.950104
7.76,104.058273
7.92,103.680664
7.68,103.950104
7.28,104.166672
7.28,104.166672
7.28,104.275291
7.44,104.166672
7.36,104.166672
7.6,103.626945
7.44,104.275291
7.84,104.166672
7.44,104.38414
7.68,104.004166
7.52,103.950104
7.84,104.058273
8.16,103.842155
7.76,103.842155
7.52,103.842155
7.599999,104.38414
8,104.166672
7.36,104.220947
9.2,104.38414
9.52,104.275291
9.12,104.166672
9.04,104.275291
8.879999,104.058273
7.92,104.275291
7.68,104.38414
8.32,104.166672
8.32,104.166672
7.68,104.438644
8,104.38414
7.6,104.166672
8.719999,104.058273
8,104.166672
8.32,104.275291
7.36,104.38414
7.84,104.275291
9.28,103.950104
9.04,104.275291
8.88,104.438644
8.88,104.112442
7.599999,104.166672
7.599999,104.38414
7.36,104.166672
7.52,104.38414
7.76,104.275291
7.92,104.275291
7.12,104.112442
7.84,104.275291
7.04,104.38414
6.96,104.166672
7.04,104.49321
7.28,104.38414
7.12,104.166672
7.44,104.38414
7.04,104.38414
7.04,104.275291
7.2,104.058273
6.96,104.166672
7.2,104.275291
7.2,104.275291
6.96,104.275291
7.12,104.166672
7.2,104.166672
7.28,104.38414
7.28,104.38414
7.12,104.166672
7.04,104.49321
7.28,104.38414
7.12,104.058273
6.96,104.275291
7.2,104.38414
6.88,104.275291
6.88,104.058273
7.84,104.275291
7.679999,104.8218
8.4,104.38414
9.2,104.058273
8.719999,104.329689
8.8,104.275291
8.32,104.275291
8.559999,104.275291
8.24,104.166672
8.32,104.275291
8.24,104.275291
7.76,104.49321
8.639999,104.166672
8.559999,104.058273
8.799999,104.166672
8,104.38414
8.16,104.058273
8.24,104.38414
8.08,104.275291
8.639999,104.166672
8.16,104.166672
7.12,104.166672
7.2,104.058273
6.56,104.058273
6.88,104.275291
7.92,104.38414
7.2,104.166672
8,104.166672
8.959999,104.166672
5.6,103.626945
5.52,105.374077
5.6,103.626945
5.36,105.263161
5.44,104.38414
5.68,103.842155
5.6,103.734444
5.44,103.842155
5.6,104.712044
5.6,103.842155
5.6,104.8218
5.6,104.166672
5.6,103.519669
5.6,105.042015
5.36,103.842155
5.6,105.042015
5.6,103.842155
6.08,104.712044
5.6,104.275291
5.6,104.8218
5.6,104.602509
5.6,105.485237
5.92,104.931801
6,103.842155
5.52,104.931801
8.48,104.931801
7.6,104.49321
7.6,104.766899
10.24,104.275291
9.92,104.8218
8,104.602509
7.12,105.152481
7.04,104.49321
6.8,104.547836
7.12,104.49321
7.12,103.734444
7.12,104.8218
7.28,103.734444
7.2,105.152481
7.28,103.842155
7.12,104.8218
7.12,104.058273
7.04,104.712044
7.12,105.042015
7.12,105.042015
7.12,103.842155
7.04,104.602509
7.04,105.042015
6.96,104.275291
6.8,105.152481
7.04,104.38414
7.12,104.166672
6.88,104.49321
6.88,104.058273
6.88,105.152481
7.04,103.626945
4.96,103.412621
6.64,104.931801
6.64,104.275291
6.559999,104.275291
6.559999,104.712044
6.559999,104.058273
6.48,104.166672
0.72,5263.158203
0.72,50000
0.72,6250
0.64,1470.588257
0.64,4347.826172
4.08,100.704941
6.4,103.519669
6.48,104.8218
6.4,105.152481
6.4,103.950104
6.4,103.734444
6.4,104.49321
6.24,103.734444
6.32,103.842155
6.24,104.166672
6.32,104.275291
6.4,104.602509
6.24,104.166672
0.72,1020.408142
0.72,5263.158203
0.8,9090.90918
0.72,1428.571533
6,104.712044
0.8,1851.851929
0.64,15384.61523
0.8,219.298248
5.68,103.626945
5.76,104.602509
5.76,103.734444
5.84,104.38414
5.84,104.547836
5.6,104.712044
5.76,104.712044
5.68,104.166672
5.84,105.042015
5.84,103.842155
5.68,104.058273
5.92,104.275291
5.68,103.412621
5.76,103.305786
5.68,104.931801
5.6,104.058273
5.68,103.626945
5.6,103.626945
5.6,104.166672
5.6,104.058273
5.6,103.519669
5.6,105.042015
5.6,103.519669
5.6,103.842155
5.6,105.042015
5.6,103.842155
5.76,103.519669
5.6,104.602509
5.6,103.842155
5.6,103.519669
5.52,104.38414
5.6,104.712044
5.6,104.49321
5.44,104.712044
5.6,103.734444
5.52,104.275291
5.52,103.305786
5.52,103.305786
5.44,103.950104
5.52,104.712044
5.44,104.602509
5.52,104.712044
5.52,103.57328
5.44,103.626945
5.44,103.842155
5.52,105.042015
5.44,104.931801
5.52,104.931801
5.52,105.152481
5.52,103.519669
5.44,103.626945
5.52,104.8218
5.6,104.166672
5.6,105.152481
5.6,105.042015
5.6,104.49321
5.6,104.058273
5.6,104.712044
5.6,103.842155
5.52,104.058273
5.52,104.931801
0.24,2380.952393
14.24,104.112442
14.08,104.712044
14.08,104.8218
1.2,104
1.04,104
12.24,104.38414
1.04,208.98642
