time,resonance
8.4,103.734444
8.4,103.950104
8.4,103.842155
8.24,104.058273
8.4,104.058273
8.32,103.734444
8.16,103.950104
8,104.058273
8,104.058273
8.08,103.626945
8.08,104.49321
7.92,103.950104
7.92,103.950104
7.92,104.058273
8,103.734444
7.68,104.166672
7.52,104.058273
8.32,104.058273
8.4,103.950104
7.6,104.275291
8.4,103.950104
8.48,103.950104
8.24,104.058273
8.24,104.058273
8,103.950104
7.92,103.950104
8,104.166672
8.559999,103.896103
8.639999,103.842155
8.4,104.058273
8.48,104.166672
8.48,104.166672
8.32,103.950104
8.48,103.950104
8.08,104.166672
7.52,104.220947
7.36,104.058273
7.36,103.842155
